(Vienna, 21.220608, Degree Celsius, 05:29:17:028)
(Linz, 23.114569, Degree Celsius, 05:29:17:936)
(New York, 20.845575, Degree Celsius, 05:29:17:967)
(Vienna, 21.657215, Degree Celsius, 05:29:17:967)
(Dornbirn, 21.267288, Degree Celsius, 05:29:17:967)
(New York, 23.466309, Degree Celsius, 05:29:17:999)
(Linz, 23.270264, Degree Celsius, 05:29:17:967)
(Vienna, 22.53487, Degree Celsius, 05:29:17:999)
(Dornbirn, 21.198084, Degree Celsius, 05:29:17:999)
(Linz, 20.753456, Degree Celsius, 05:29:17:999)
(New York, 22.791515, Degree Celsius, 05:29:18:406)
(Dornbirn, 23.704826, Degree Celsius, 05:29:18:406)
(Vienna, 22.212448, Degree Celsius, 05:29:18:406)
(Linz, 23.776361, Degree Celsius, 05:29:18:406)
(New York, 20.70495, Degree Celsius, 05:29:18:438)
(Dornbirn, 22.415823, Degree Celsius, 05:29:18:438)
(Dornbirn, 20.993925, Degree Celsius, 05:29:18:469)
(New York, 24.118828, Degree Celsius, 05:29:18:469)
(Vienna, 21.927725, Degree Celsius, 05:29:18:438)
(Linz, 22.935986, Degree Celsius, 05:29:18:438)
(Vienna, 21.416767, Degree Celsius, 05:29:18:469)
(New York, 21.568981, Degree Celsius, 05:29:18:500)
(Dornbirn, 22.118883, Degree Celsius, 05:29:18:500)
(Linz, 24.105978, Degree Celsius, 05:29:18:469)
(New York, 22.465147, Degree Celsius, 05:29:18:526)
(Vienna, 20.539244, Degree Celsius, 05:29:18:500)
(Dornbirn, 23.356562, Degree Celsius, 05:29:18:526)
(Linz, 20.204031, Degree Celsius, 05:29:18:500)
(New York, 22.475056, Degree Celsius, 05:29:18:547)
(Vienna, 21.76871, Degree Celsius, 05:29:18:526)
(Dornbirn, 20.894539, Degree Celsius, 05:29:18:547)
(Linz, 23.582653, Degree Celsius, 05:29:18:526)
(New York, 20.291616, Degree Celsius, 05:29:18:578)
(Dornbirn, 21.648092, Degree Celsius, 05:29:18:578)
(Vienna, 22.584229, Degree Celsius, 05:29:18:547)
(Linz, 22.87133, Degree Celsius, 05:29:18:547)
(Vienna, 20.844774, Degree Celsius, 05:29:18:578)
(Linz, 23.940073, Degree Celsius, 05:29:18:578)
(Dornbirn, 22.457804, Degree Celsius, 05:29:18:812)
(Linz, 21.371885, Degree Celsius, 05:29:18:812)
(New York, 23.591732, Degree Celsius, 05:29:18:812)
(Vienna, 21.422073, Degree Celsius, 05:29:18:812)
(Dornbirn, 23.004059, Degree Celsius, 05:29:18:826)
(Linz, 22.725132, Degree Celsius, 05:29:18:826)
(New York, 21.691513, Degree Celsius, 05:29:18:826)
(Vienna, 23.707466, Degree Celsius, 05:29:18:826)
(Dornbirn, 20.931602, Degree Celsius, 05:29:18:857)
(Linz, 21.917736, Degree Celsius, 05:29:18:857)
(New York, 21.758913, Degree Celsius, 05:29:18:857)
(Vienna, 21.433056, Degree Celsius, 05:29:18:857)
(Dornbirn, 21.876139, Degree Celsius, 05:29:18:889)
(Linz, 22.849571, Degree Celsius, 05:29:18:889)
(New York, 21.978086, Degree Celsius, 05:29:18:889)
(Linz, 21.95903, Degree Celsius, 05:29:18:922)
(Dornbirn, 22.603386, Degree Celsius, 05:29:18:922)
(Vienna, 20.726494, Degree Celsius, 05:29:18:889)
(New York, 22.562681, Degree Celsius, 05:29:18:922)
(Linz, 22.631577, Degree Celsius, 05:29:18:937)
(Vienna, 22.434887, Degree Celsius, 05:29:18:922)
(Dornbirn, 21.519583, Degree Celsius, 05:29:18:937)
(New York, 20.536228, Degree Celsius, 05:29:18:937)
(Linz, 23.326519, Degree Celsius, 05:29:18:968)
(Vienna, 21.261662, Degree Celsius, 05:29:18:937)
(Dornbirn, 21.747969, Degree Celsius, 05:29:18:968)
(New York, 22.063618, Degree Celsius, 05:29:18:968)
(Vienna, 20.360592, Degree Celsius, 05:29:18:968)
(New York, 20.339142, Degree Celsius, 05:29:19:418)
(New York, 22.253897, Degree Celsius, 05:29:19:449)
(Vienna, 23.28117, Degree Celsius, 05:29:19:418)
(New York, 20.972921, Degree Celsius, 05:29:19:480)
(Linz, 23.678734, Degree Celsius, 05:29:19:418)
(Vienna, 22.832092, Degree Celsius, 05:29:19:449)
(New York, 21.973265, Degree Celsius, 05:29:19:506)
(Linz, 22.14476, Degree Celsius, 05:29:19:449)
(Vienna, 23.018167, Degree Celsius, 05:29:19:480)
(New York, 20.529015, Degree Celsius, 05:29:19:538)
(Linz, 23.987356, Degree Celsius, 05:29:19:480)
(New York, 21.092941, Degree Celsius, 05:29:19:570)
(Vienna, 24.016584, Degree Celsius, 05:29:19:506)
(Linz, 23.66905, Degree Celsius, 05:29:19:506)
(New York, 21.639334, Degree Celsius, 05:29:19:601)
(Vienna, 23.976597, Degree Celsius, 05:29:19:538)
(Linz, 22.718435, Degree Celsius, 05:29:19:538)
(Vienna, 23.802963, Degree Celsius, 05:29:19:570)
(Linz, 23.596703, Degree Celsius, 05:29:19:570)
(Vienna, 22.452473, Degree Celsius, 05:29:19:601)
(Linz, 22.384806, Degree Celsius, 05:29:19:601)
