(New York, 22.840124, Degree Celsius, 05:29:16:830)
(New York, 23.844055, Degree Celsius, 05:29:17:197)
(New York, 22.446007, Degree Celsius, 05:29:17:229)
(Dornbirn, 24.069115, Degree Celsius, 05:29:17:229)
(Vienna, 23.157116, Degree Celsius, 05:29:17:229)
(New York, 21.381744, Degree Celsius, 05:29:17:261)
(Dornbirn, 22.45007, Degree Celsius, 05:29:17:261)
(New York, 22.999737, Degree Celsius, 05:29:17:277)
(Vienna, 23.33593, Degree Celsius, 05:29:17:261)
(Dornbirn, 23.570074, Degree Celsius, 05:29:17:277)
(New York, 20.216034, Degree Celsius, 05:29:17:308)
(Dornbirn, 22.774395, Degree Celsius, 05:29:17:308)
(Vienna, 21.688354, Degree Celsius, 05:29:17:277)
(New York, 21.3553, Degree Celsius, 05:29:17:340)
(Dornbirn, 20.420588, Degree Celsius, 05:29:17:340)
(Vienna, 22.833702, Degree Celsius, 05:29:17:308)
(New York, 21.360264, Degree Celsius, 05:29:17:370)
(Dornbirn, 23.59746, Degree Celsius, 05:29:17:370)
(Vienna, 23.158459, Degree Celsius, 05:29:17:340)
(New York, 21.097872, Degree Celsius, 05:29:17:396)
(Dornbirn, 22.6645, Degree Celsius, 05:29:17:396)
(Vienna, 22.91942, Degree Celsius, 05:29:17:370)
(Vienna, 22.16171, Degree Celsius, 05:29:17:396)
(Linz, 22.168396, Degree Celsius, 05:29:17:428)
(Linz, 20.682045, Degree Celsius, 05:29:17:461)
(Linz, 22.706047, Degree Celsius, 05:29:17:476)
(Linz, 22.930073, Degree Celsius, 05:29:17:507)
(Linz, 22.869831, Degree Celsius, 05:29:17:540)
(Linz, 21.021566, Degree Celsius, 05:29:17:572)
(Linz, 21.999695, Degree Celsius, 05:29:17:586)
(Vienna, 20.723564, Degree Celsius, 05:29:18:031)
(Dornbirn, 22.76857, Degree Celsius, 05:29:18:031)
(Linz, 21.881838, Degree Celsius, 05:29:18:031)
(Vienna, 20.203627, Degree Celsius, 05:29:18:056)
(New York, 22.878347, Degree Celsius, 05:29:18:031)
(Dornbirn, 20.35882, Degree Celsius, 05:29:18:056)
(Linz, 24.006203, Degree Celsius, 05:29:18:056)
(Vienna, 21.32308, Degree Celsius, 05:29:18:087)
(Dornbirn, 21.035334, Degree Celsius, 05:29:18:087)
(Vienna, 21.929138, Degree Celsius, 05:29:18:120)
(New York, 22.493044, Degree Celsius, 05:29:18:056)
(Linz, 20.317574, Degree Celsius, 05:29:18:087)
(Dornbirn, 23.171745, Degree Celsius, 05:29:18:120)
(New York, 23.861809, Degree Celsius, 05:29:18:087)
(Linz, 20.631496, Degree Celsius, 05:29:18:120)
(Vienna, 20.821283, Degree Celsius, 05:29:18:146)
(Dornbirn, 22.873022, Degree Celsius, 05:29:18:146)
(Linz, 21.187063, Degree Celsius, 05:29:18:146)
(New York, 22.701525, Degree Celsius, 05:29:18:120)
(Vienna, 23.427599, Degree Celsius, 05:29:18:166)
(Dornbirn, 21.72561, Degree Celsius, 05:29:18:166)
(Linz, 22.550703, Degree Celsius, 05:29:18:166)
(New York, 21.025673, Degree Celsius, 05:29:18:146)
(Vienna, 23.962553, Degree Celsius, 05:29:18:198)
(Dornbirn, 23.873306, Degree Celsius, 05:29:18:198)
(Linz, 22.624216, Degree Celsius, 05:29:18:198)
(New York, 23.770767, Degree Celsius, 05:29:18:166)
(New York, 22.058699, Degree Celsius, 05:29:18:198)
(Linz, 20.256645, Degree Celsius, 05:29:18:230)
(Dornbirn, 21.393803, Degree Celsius, 05:29:18:230)
(Dornbirn, 22.947124, Degree Celsius, 05:29:18:261)
(Linz, 23.338932, Degree Celsius, 05:29:18:261)
(New York, 22.424992, Degree Celsius, 05:29:18:230)
(Dornbirn, 23.452412, Degree Celsius, 05:29:18:276)
(Linz, 22.752445, Degree Celsius, 05:29:18:276)
(Vienna, 23.033964, Degree Celsius, 05:29:18:230)
(Dornbirn, 21.195517, Degree Celsius, 05:29:18:307)
(Linz, 22.147596, Degree Celsius, 05:29:18:307)
(New York, 21.010725, Degree Celsius, 05:29:18:261)
(Vienna, 22.26795, Degree Celsius, 05:29:18:265)
(Dornbirn, 20.681883, Degree Celsius, 05:29:18:338)
(Linz, 21.060844, Degree Celsius, 05:29:18:338)
(Vienna, 20.795874, Degree Celsius, 05:29:18:276)
(New York, 22.208185, Degree Celsius, 05:29:18:276)
(Dornbirn, 22.875008, Degree Celsius, 05:29:18:371)
(Linz, 23.145191, Degree Celsius, 05:29:18:371)
(New York, 23.278164, Degree Celsius, 05:29:18:307)
(Vienna, 20.585669, Degree Celsius, 05:29:18:307)
(Dornbirn, 23.425734, Degree Celsius, 05:29:18:385)
(New York, 21.946081, Degree Celsius, 05:29:18:338)
(Linz, 22.839025, Degree Celsius, 05:29:18:385)
(Vienna, 21.817436, Degree Celsius, 05:29:18:338)
(Vienna, 23.626175, Degree Celsius, 05:29:18:371)
(New York, 22.15622, Degree Celsius, 05:29:18:371)
(Vienna, 23.653524, Degree Celsius, 05:29:18:385)
(New York, 22.846758, Degree Celsius, 05:29:18:385)
(New York, 21.79536, Degree Celsius, 05:29:18:610)
(Dornbirn, 23.830017, Degree Celsius, 05:29:18:610)
(Vienna, 23.16769, Degree Celsius, 05:29:18:610)
(Linz, 20.283224, Degree Celsius, 05:29:18:610)
(Dornbirn, 21.016367, Degree Celsius, 05:29:18:641)
(New York, 21.478502, Degree Celsius, 05:29:18:641)
(Linz, 21.456093, Degree Celsius, 05:29:18:641)
(Dornbirn, 21.117159, Degree Celsius, 05:29:18:656)
(New York, 23.677608, Degree Celsius, 05:29:18:656)
(Linz, 23.90728, Degree Celsius, 05:29:18:656)
(Dornbirn, 20.880636, Degree Celsius, 05:29:18:688)
(Vienna, 20.58551, Degree Celsius, 05:29:18:641)
(New York, 21.278263, Degree Celsius, 05:29:18:688)
(Linz, 20.40499, Degree Celsius, 05:29:18:688)
(Dornbirn, 23.710424, Degree Celsius, 05:29:18:718)
(Vienna, 22.71277, Degree Celsius, 05:29:18:656)
(New York, 20.666622, Degree Celsius, 05:29:18:718)
(Linz, 21.922796, Degree Celsius, 05:29:18:718)
(Vienna, 21.77415, Degree Celsius, 05:29:18:688)
(Dornbirn, 22.948748, Degree Celsius, 05:29:18:749)
(New York, 23.401337, Degree Celsius, 05:29:18:749)
(Linz, 22.730417, Degree Celsius, 05:29:18:749)
(Vienna, 22.492924, Degree Celsius, 05:29:18:718)
(Dornbirn, 21.6201, Degree Celsius, 05:29:18:780)
(New York, 24.137526, Degree Celsius, 05:29:18:780)
(Linz, 21.486547, Degree Celsius, 05:29:18:780)
(Vienna, 22.101484, Degree Celsius, 05:29:18:749)
(Vienna, 22.849037, Degree Celsius, 05:29:18:780)
(Vienna, 21.198427, Degree Celsius, 05:29:18:999)
(Linz, 21.985878, Degree Celsius, 05:29:18:999)
(New York, 23.75827, Degree Celsius, 05:29:18:999)
(Dornbirn, 22.40662, Degree Celsius, 05:29:18:999)
(New York, 21.396132, Degree Celsius, 05:29:19:030)
(Linz, 20.290659, Degree Celsius, 05:29:19:030)
(Vienna, 21.795294, Degree Celsius, 05:29:19:030)
(Dornbirn, 20.467264, Degree Celsius, 05:29:19:030)
(New York, 21.903055, Degree Celsius, 05:29:19:056)
(Linz, 20.613691, Degree Celsius, 05:29:19:056)
(Vienna, 21.158012, Degree Celsius, 05:29:19:056)
(Dornbirn, 20.502512, Degree Celsius, 05:29:19:056)
(New York, 24.1243, Degree Celsius, 05:29:19:087)
(Vienna, 20.556417, Degree Celsius, 05:29:19:087)
(Linz, 22.819372, Degree Celsius, 05:29:19:087)
(New York, 23.814837, Degree Celsius, 05:29:19:118)
(Vienna, 21.569252, Degree Celsius, 05:29:19:118)
(Dornbirn, 23.665642, Degree Celsius, 05:29:19:087)
(Linz, 22.872074, Degree Celsius, 05:29:19:118)
(New York, 20.272219, Degree Celsius, 05:29:19:151)
(Dornbirn, 23.355284, Degree Celsius, 05:29:19:118)
(Vienna, 22.127071, Degree Celsius, 05:29:19:151)
(Linz, 22.086945, Degree Celsius, 05:29:19:151)
(New York, 22.280268, Degree Celsius, 05:29:19:176)
(Dornbirn, 24.039162, Degree Celsius, 05:29:19:151)
(Vienna, 21.602112, Degree Celsius, 05:29:19:176)
(Linz, 20.396776, Degree Celsius, 05:29:19:176)
(Dornbirn, 23.7115, Degree Celsius, 05:29:19:176)
(Linz, 22.767166, Degree Celsius, 05:29:19:207)
(New York, 23.527348, Degree Celsius, 05:29:19:207)
(Linz, 21.805216, Degree Celsius, 05:29:19:238)
(Vienna, 21.160444, Degree Celsius, 05:29:19:207)
(Dornbirn, 22.502216, Degree Celsius, 05:29:19:207)
(Linz, 21.095577, Degree Celsius, 05:29:19:269)
(New York, 21.530779, Degree Celsius, 05:29:19:238)
(Dornbirn, 20.28968, Degree Celsius, 05:29:19:238)
(Linz, 23.235432, Degree Celsius, 05:29:19:299)
(New York, 23.667809, Degree Celsius, 05:29:19:269)
(Vienna, 23.35515, Degree Celsius, 05:29:19:238)
(Dornbirn, 21.956692, Degree Celsius, 05:29:19:269)
(Linz, 22.659012, Degree Celsius, 05:29:19:329)
(Vienna, 23.03987, Degree Celsius, 05:29:19:269)
(New York, 22.58215, Degree Celsius, 05:29:19:299)
(Dornbirn, 21.6661, Degree Celsius, 05:29:19:299)
(Linz, 21.273203, Degree Celsius, 05:29:19:355)
(Vienna, 23.445528, Degree Celsius, 05:29:19:299)
(New York, 22.970701, Degree Celsius, 05:29:19:329)
(Dornbirn, 20.958202, Degree Celsius, 05:29:19:329)
(New York, 21.271574, Degree Celsius, 05:29:19:355)
(Linz, 22.247135, Degree Celsius, 05:29:19:387)
(Vienna, 21.733978, Degree Celsius, 05:29:19:329)
(Dornbirn, 24.128332, Degree Celsius, 05:29:19:355)
(New York, 24.062113, Degree Celsius, 05:29:19:387)
(Vienna, 24.109211, Degree Celsius, 05:29:19:355)
(Dornbirn, 20.78221, Degree Celsius, 05:29:19:387)
(Vienna, 22.62315, Degree Celsius, 05:29:19:387)
(Dornbirn, 20.549356, Degree Celsius, 05:29:19:418)
(Dornbirn, 22.351976, Degree Celsius, 05:29:19:449)
(Dornbirn, 23.744164, Degree Celsius, 05:29:19:480)
(Dornbirn, 23.368298, Degree Celsius, 05:29:19:506)
(Dornbirn, 23.23685, Degree Celsius, 05:29:19:538)
(Dornbirn, 22.146603, Degree Celsius, 05:29:19:570)
(Dornbirn, 21.16175, Degree Celsius, 05:29:19:601)
