(Vienna, 23.584497, Degree Celsius, 02:46:15:438)
(Dornbirn, 19.022995, Degree Celsius, 02:46:15:790)
(Dornbirn, 19.533989, Degree Celsius, 02:46:15:821)
(Dornbirn, 18.490908, Degree Celsius, 02:46:15:853)
(Dornbirn, 18.648783, Degree Celsius, 02:46:15:885)
(Dornbirn, 18.590818, Degree Celsius, 02:46:15:916)
(Dornbirn, 18.800533, Degree Celsius, 02:46:15:930)
(Dornbirn, 19.36885, Degree Celsius, 02:46:15:951)
(Dornbirn, 19.413279, Degree Celsius, 02:46:15:982)
(Vienna, 23.210077, Degree Celsius, 02:46:15:821)
(Vienna, 24.093435, Degree Celsius, 02:46:15:853)
(Vienna, 23.587942, Degree Celsius, 02:46:15:884)
(Vienna, 22.720337, Degree Celsius, 02:46:15:916)
(Vienna, 23.444555, Degree Celsius, 02:46:15:930)
(Vienna, 23.814016, Degree Celsius, 02:46:15:951)
(Vienna, 23.157059, Degree Celsius, 02:46:15:983)
(Linz, 21.897844, Degree Celsius, 02:46:15:821)
(Linz, 21.9431, Degree Celsius, 02:46:15:853)
(Linz, 20.763876, Degree Celsius, 02:46:15:884)
(Linz, 22.109976, Degree Celsius, 02:46:15:916)
(Linz, 21.644035, Degree Celsius, 02:46:15:930)
(Linz, 21.296326, Degree Celsius, 02:46:15:951)
(Linz, 20.534185, Degree Celsius, 02:46:15:982)
(Las Vegas, 46.4641, Degree Fahrenheit, 02:46:15:821)
(Las Vegas, 46.778214, Degree Fahrenheit, 02:46:15:853)
(Las Vegas, 41.494038, Degree Fahrenheit, 02:46:15:884)
(Las Vegas, 46.05187, Degree Fahrenheit, 02:46:15:916)
(Las Vegas, 46.08668, Degree Fahrenheit, 02:46:15:930)
(Las Vegas, 46.561134, Degree Fahrenheit, 02:46:15:951)
(Las Vegas, 42.357525, Degree Fahrenheit, 02:46:15:982)
(Vienna, 22.946545, Degree Celsius, 02:46:16:014)
(Vienna, 22.774797, Degree Celsius, 02:46:16:041)
(Vienna, 23.934767, Degree Celsius, 02:46:16:061)
(Vienna, 22.749279, Degree Celsius, 02:46:16:093)
(Vienna, 22.922836, Degree Celsius, 02:46:16:124)
(Vienna, 23.027288, Degree Celsius, 02:46:16:150)
(Vienna, 22.687037, Degree Celsius, 02:46:16:182)
(Dornbirn, 19.403385, Degree Celsius, 02:46:16:004)
(Dornbirn, 19.290485, Degree Celsius, 02:46:16:037)
(Dornbirn, 18.666939, Degree Celsius, 02:46:16:050)
(Dornbirn, 19.387161, Degree Celsius, 02:46:16:082)
(Dornbirn, 19.215652, Degree Celsius, 02:46:16:114)
(Dornbirn, 19.35216, Degree Celsius, 02:46:16:145)
(Dornbirn, 19.651701, Degree Celsius, 02:46:16:160)
(Linz, 20.203793, Degree Celsius, 02:46:16:004)
(Linz, 21.139359, Degree Celsius, 02:46:16:037)
(Linz, 22.061869, Degree Celsius, 02:46:16:050)
(Linz, 20.493992, Degree Celsius, 02:46:16:082)
(Linz, 21.954279, Degree Celsius, 02:46:16:114)
(Linz, 20.941082, Degree Celsius, 02:46:16:145)
(Linz, 21.615007, Degree Celsius, 02:46:16:160)
(Las Vegas, 44.854576, Degree Fahrenheit, 02:46:16:004)
(Las Vegas, 48.916245, Degree Fahrenheit, 02:46:16:037)
(Las Vegas, 45.515587, Degree Fahrenheit, 02:46:16:050)
(Las Vegas, 41.02169, Degree Fahrenheit, 02:46:16:082)
(Las Vegas, 41.22942, Degree Fahrenheit, 02:46:16:114)
(Las Vegas, 40.893044, Degree Fahrenheit, 02:46:16:145)
(Las Vegas, 44.03637, Degree Fahrenheit, 02:46:16:160)
(Vienna, 22.558668, Degree Celsius, 02:46:16:213)
(Vienna, 23.972702, Degree Celsius, 02:46:16:244)
(Vienna, 23.897924, Degree Celsius, 02:46:16:274)
(Vienna, 22.970644, Degree Celsius, 02:46:16:305)
(Vienna, 22.632708, Degree Celsius, 02:46:16:330)
(Vienna, 23.101707, Degree Celsius, 02:46:16:362)
(Vienna, 22.982388, Degree Celsius, 02:46:16:392)
(Linz, 21.37803, Degree Celsius, 02:46:16:192)
(Linz, 20.886251, Degree Celsius, 02:46:16:223)
(Linz, 21.26986, Degree Celsius, 02:46:16:254)
(Linz, 20.937399, Degree Celsius, 02:46:16:284)
(Linz, 21.8209, Degree Celsius, 02:46:16:315)
(Linz, 21.322702, Degree Celsius, 02:46:16:341)
(Linz, 21.201536, Degree Celsius, 02:46:16:372)
(Dornbirn, 18.854076, Degree Celsius, 02:46:16:192)
(Dornbirn, 18.726198, Degree Celsius, 02:46:16:223)
(Dornbirn, 19.672731, Degree Celsius, 02:46:16:254)
(Dornbirn, 19.233025, Degree Celsius, 02:46:16:284)
(Dornbirn, 19.05469, Degree Celsius, 02:46:16:315)
(Dornbirn, 19.426079, Degree Celsius, 02:46:16:341)
(Dornbirn, 19.429314, Degree Celsius, 02:46:16:372)
(Las Vegas, 41.709343, Degree Fahrenheit, 02:46:16:192)
(Las Vegas, 46.954617, Degree Fahrenheit, 02:46:16:254)
(Las Vegas, 42.65527, Degree Fahrenheit, 02:46:16:284)
(Las Vegas, 45.147392, Degree Fahrenheit, 02:46:16:315)
(Las Vegas, 46.228863, Degree Fahrenheit, 02:46:16:341)
(Las Vegas, 41.941586, Degree Fahrenheit, 02:46:16:372)
(Las Vegas, 52.90715, Degree Fahrenheit, 02:46:16:403)
(Vienna, 22.595177, Degree Celsius, 02:46:16:423)
(Vienna, 22.690342, Degree Celsius, 02:46:16:455)
(Vienna, 22.739729, Degree Celsius, 02:46:16:480)
(Vienna, 22.830677, Degree Celsius, 02:46:16:512)
(Vienna, 22.721521, Degree Celsius, 02:46:16:543)
(Vienna, 23.299492, Degree Celsius, 02:46:16:575)
(Vienna, 23.950794, Degree Celsius, 02:46:16:590)
(Dornbirn, 19.075365, Degree Celsius, 02:46:16:403)
(Dornbirn, 19.547703, Degree Celsius, 02:46:16:433)
(Dornbirn, 18.743467, Degree Celsius, 02:46:16:465)
(Dornbirn, 18.574604, Degree Celsius, 02:46:16:491)
(Dornbirn, 18.589788, Degree Celsius, 02:46:16:523)
(Dornbirn, 18.646696, Degree Celsius, 02:46:16:553)
(Dornbirn, 19.638424, Degree Celsius, 02:46:16:590)
(Las Vegas, 45.796967, Degree Fahrenheit, 02:46:16:433)
(Las Vegas, 45.031162, Degree Fahrenheit, 02:46:16:465)
(Las Vegas, 42.77277, Degree Fahrenheit, 02:46:16:491)
(Las Vegas, 43.771866, Degree Fahrenheit, 02:46:16:523)
(Las Vegas, 41.110756, Degree Fahrenheit, 02:46:16:553)
(Las Vegas, 44.1343, Degree Fahrenheit, 02:46:16:580)
(Las Vegas, 44.906734, Degree Fahrenheit, 02:46:16:600)
(Linz, 20.355774, Degree Celsius, 02:46:16:403)
(Linz, 21.90421, Degree Celsius, 02:46:16:433)
(Linz, 21.758495, Degree Celsius, 02:46:16:465)
(Linz, 21.802025, Degree Celsius, 02:46:16:491)
(Linz, 21.30671, Degree Celsius, 02:46:16:523)
(Linz, 21.612383, Degree Celsius, 02:46:16:553)
(Linz, 21.352627, Degree Celsius, 02:46:16:580)
(Las Vegas, 46.45472, Degree Fahrenheit, 02:46:16:633)
(Las Vegas, 46.311604, Degree Fahrenheit, 02:46:16:660)
(Las Vegas, 49.038605, Degree Fahrenheit, 02:46:16:692)
(Las Vegas, 49.32605, Degree Fahrenheit, 02:46:16:723)
(Las Vegas, 52.298565, Degree Fahrenheit, 02:46:16:755)
(Las Vegas, 46.445026, Degree Fahrenheit, 02:46:16:780)
(Las Vegas, 51.646385, Degree Fahrenheit, 02:46:16:801)
(Vienna, 23.564018, Degree Celsius, 02:46:16:622)
(Vienna, 23.206778, Degree Celsius, 02:46:16:655)
(Vienna, 22.580572, Degree Celsius, 02:46:16:671)
(Vienna, 23.066853, Degree Celsius, 02:46:16:702)
(Vienna, 22.796036, Degree Celsius, 02:46:16:734)
(Vienna, 23.78164, Degree Celsius, 02:46:16:765)
(Vienna, 22.800444, Degree Celsius, 02:46:16:780)
(Linz, 20.685242, Degree Celsius, 02:46:16:600)
(Linz, 20.26269, Degree Celsius, 02:46:16:633)
(Linz, 21.368841, Degree Celsius, 02:46:16:660)
(Linz, 20.876448, Degree Celsius, 02:46:16:692)
(Linz, 22.005009, Degree Celsius, 02:46:16:723)
(Linz, 20.45697, Degree Celsius, 02:46:16:755)
(Linz, 22.049786, Degree Celsius, 02:46:16:780)
(Dornbirn, 19.190645, Degree Celsius, 02:46:16:600)
(Dornbirn, 19.41672, Degree Celsius, 02:46:16:633)
(Dornbirn, 18.5695, Degree Celsius, 02:46:16:660)
(Dornbirn, 19.195976, Degree Celsius, 02:46:16:692)
(Dornbirn, 19.341436, Degree Celsius, 02:46:16:723)
(Dornbirn, 19.378645, Degree Celsius, 02:46:16:755)
(Dornbirn, 19.318907, Degree Celsius, 02:46:16:780)
(Dornbirn, 18.998302, Degree Celsius, 02:46:16:801)
(Dornbirn, 18.975489, Degree Celsius, 02:46:16:832)
(Dornbirn, 18.654871, Degree Celsius, 02:46:16:863)
(Dornbirn, 18.920607, Degree Celsius, 02:46:16:894)
(Dornbirn, 19.560974, Degree Celsius, 02:46:16:924)
(Dornbirn, 18.638166, Degree Celsius, 02:46:16:950)
(Dornbirn, 19.05715, Degree Celsius, 02:46:16:981)
(Linz, 20.669384, Degree Celsius, 02:46:16:801)
(Linz, 20.21272, Degree Celsius, 02:46:16:832)
(Linz, 20.978437, Degree Celsius, 02:46:16:863)
(Linz, 21.423845, Degree Celsius, 02:46:16:894)
(Linz, 20.863075, Degree Celsius, 02:46:16:924)
(Linz, 21.68411, Degree Celsius, 02:46:16:950)
(Linz, 21.05046, Degree Celsius, 02:46:16:981)
(Vienna, 23.870771, Degree Celsius, 02:46:16:801)
(Vienna, 22.863825, Degree Celsius, 02:46:16:832)
(Vienna, 22.56521, Degree Celsius, 02:46:16:863)
(Vienna, 22.963514, Degree Celsius, 02:46:16:894)
(Vienna, 23.78273, Degree Celsius, 02:46:16:924)
(Vienna, 23.351778, Degree Celsius, 02:46:16:950)
(Vienna, 23.634258, Degree Celsius, 02:46:16:981)
(Las Vegas, 45.116955, Degree Fahrenheit, 02:46:16:832)
(Las Vegas, 44.301903, Degree Fahrenheit, 02:46:16:863)
(Las Vegas, 43.73375, Degree Fahrenheit, 02:46:16:894)
(Las Vegas, 43.837517, Degree Fahrenheit, 02:46:16:924)
(Las Vegas, 52.042797, Degree Fahrenheit, 02:46:16:950)
(Las Vegas, 46.927647, Degree Fahrenheit, 02:46:16:981)
(Las Vegas, 47.399895, Degree Fahrenheit, 02:46:17:013)
(Dornbirn, 18.62715, Degree Celsius, 02:46:17:013)
(Dornbirn, 18.493444, Degree Celsius, 02:46:17:045)
(Dornbirn, 19.337858, Degree Celsius, 02:46:17:061)
(Dornbirn, 19.037086, Degree Celsius, 02:46:17:092)
(Dornbirn, 19.287285, Degree Celsius, 02:46:17:123)
(Dornbirn, 19.29668, Degree Celsius, 02:46:17:155)
(Dornbirn, 19.335398, Degree Celsius, 02:46:17:180)
(Vienna, 22.702175, Degree Celsius, 02:46:17:013)
(Vienna, 23.40017, Degree Celsius, 02:46:17:045)
(Vienna, 23.11148, Degree Celsius, 02:46:17:061)
(Vienna, 23.634642, Degree Celsius, 02:46:17:092)
(Vienna, 22.737766, Degree Celsius, 02:46:17:123)
(Vienna, 23.219955, Degree Celsius, 02:46:17:155)
(Vienna, 22.606146, Degree Celsius, 02:46:17:180)
(Las Vegas, 51.031128, Degree Fahrenheit, 02:46:17:045)
(Las Vegas, 46.924458, Degree Fahrenheit, 02:46:17:061)
(Las Vegas, 52.793594, Degree Fahrenheit, 02:46:17:092)
(Las Vegas, 51.336857, Degree Fahrenheit, 02:46:17:123)
(Las Vegas, 47.34836, Degree Fahrenheit, 02:46:17:155)
(Las Vegas, 51.750893, Degree Fahrenheit, 02:46:17:180)
(Las Vegas, 45.787247, Degree Fahrenheit, 02:46:17:201)
(Linz, 20.715939, Degree Celsius, 02:46:17:013)
(Linz, 20.303614, Degree Celsius, 02:46:17:045)
(Linz, 20.654749, Degree Celsius, 02:46:17:061)
(Linz, 20.414154, Degree Celsius, 02:46:17:092)
(Linz, 20.291409, Degree Celsius, 02:46:17:123)
(Linz, 21.793554, Degree Celsius, 02:46:17:155)
(Linz, 21.67019, Degree Celsius, 02:46:17:180)
(Vienna, 23.841183, Degree Celsius, 02:46:17:201)
(Vienna, 23.05693, Degree Celsius, 02:46:17:233)
(Vienna, 23.312817, Degree Celsius, 02:46:17:265)
(Vienna, 23.00673, Degree Celsius, 02:46:17:291)
(Vienna, 23.772137, Degree Celsius, 02:46:17:311)
(Vienna, 22.97262, Degree Celsius, 02:46:17:342)
(Vienna, 23.393162, Degree Celsius, 02:46:17:374)
(Dornbirn, 18.854008, Degree Celsius, 02:46:17:201)
(Dornbirn, 19.638763, Degree Celsius, 02:46:17:233)
(Dornbirn, 18.516392, Degree Celsius, 02:46:17:265)
(Dornbirn, 19.42043, Degree Celsius, 02:46:17:291)
(Dornbirn, 19.177942, Degree Celsius, 02:46:17:311)
(Dornbirn, 18.580225, Degree Celsius, 02:46:17:342)
(Dornbirn, 19.23131, Degree Celsius, 02:46:17:374)
(Linz, 20.23488, Degree Celsius, 02:46:17:201)
(Linz, 20.45483, Degree Celsius, 02:46:17:233)
(Linz, 20.567015, Degree Celsius, 02:46:17:265)
(Linz, 20.590471, Degree Celsius, 02:46:17:291)
(Linz, 21.880796, Degree Celsius, 02:46:17:311)
(Linz, 21.314072, Degree Celsius, 02:46:17:342)
(Linz, 20.501348, Degree Celsius, 02:46:17:374)
(Las Vegas, 44.39747, Degree Fahrenheit, 02:46:17:233)
(Las Vegas, 46.0308, Degree Fahrenheit, 02:46:17:265)
(Las Vegas, 41.11303, Degree Fahrenheit, 02:46:17:291)
(Las Vegas, 41.86577, Degree Fahrenheit, 02:46:17:311)
(Las Vegas, 42.778656, Degree Fahrenheit, 02:46:17:342)
(Las Vegas, 47.835518, Degree Fahrenheit, 02:46:17:374)
(Las Vegas, 50.31714, Degree Fahrenheit, 02:46:17:406)
(Linz, 20.306667, Degree Celsius, 02:46:17:406)
(Linz, 22.107426, Degree Celsius, 02:46:17:453)
(Linz, 20.396263, Degree Celsius, 02:46:17:485)
(Linz, 21.759058, Degree Celsius, 02:46:17:510)
(Linz, 20.377563, Degree Celsius, 02:46:17:541)
(Linz, 20.47824, Degree Celsius, 02:46:17:573)
(Linz, 21.9907, Degree Celsius, 02:46:17:605)
(Las Vegas, 47.363396, Degree Fahrenheit, 02:46:17:421)
(Las Vegas, 45.057106, Degree Fahrenheit, 02:46:17:453)
(Las Vegas, 52.049217, Degree Fahrenheit, 02:46:17:485)
(Las Vegas, 50.93733, Degree Fahrenheit, 02:46:17:510)
(Las Vegas, 50.87426, Degree Fahrenheit, 02:46:17:541)
(Las Vegas, 44.692177, Degree Fahrenheit, 02:46:17:573)
(Las Vegas, 48.2591, Degree Fahrenheit, 02:46:17:605)
(Dornbirn, 19.498823, Degree Celsius, 02:46:17:406)
(Dornbirn, 18.780052, Degree Celsius, 02:46:17:422)
(Dornbirn, 18.50733, Degree Celsius, 02:46:17:453)
(Dornbirn, 18.628988, Degree Celsius, 02:46:17:485)
(Dornbirn, 18.711386, Degree Celsius, 02:46:17:510)
(Dornbirn, 18.82584, Degree Celsius, 02:46:17:541)
(Dornbirn, 19.206036, Degree Celsius, 02:46:17:573)
(Vienna, 22.678337, Degree Celsius, 02:46:17:406)
(Vienna, 24.032457, Degree Celsius, 02:46:17:422)
(Vienna, 23.107798, Degree Celsius, 02:46:17:453)
(Vienna, 22.603708, Degree Celsius, 02:46:17:485)
(Vienna, 23.189718, Degree Celsius, 02:46:17:510)
(Vienna, 22.692558, Degree Celsius, 02:46:17:541)
(Vienna, 23.045923, Degree Celsius, 02:46:17:573)
(Linz, 20.94063, Degree Celsius, 02:46:17:620)
(Linz, 22.10051, Degree Celsius, 02:46:17:651)
(Linz, 22.086966, Degree Celsius, 02:46:17:683)
(Linz, 20.711367, Degree Celsius, 02:46:17:715)
(Linz, 21.269297, Degree Celsius, 02:46:17:740)
(Linz, 20.80507, Degree Celsius, 02:46:17:771)
(Linz, 20.603352, Degree Celsius, 02:46:17:802)
(Vienna, 23.630392, Degree Celsius, 02:46:17:605)
(Vienna, 23.438023, Degree Celsius, 02:46:17:651)
(Vienna, 23.957306, Degree Celsius, 02:46:17:683)
(Vienna, 23.57287, Degree Celsius, 02:46:17:715)
(Vienna, 22.8817, Degree Celsius, 02:46:17:740)
(Vienna, 23.377525, Degree Celsius, 02:46:17:771)
(Vienna, 23.18954, Degree Celsius, 02:46:17:802)
(Dornbirn, 18.499048, Degree Celsius, 02:46:17:605)
(Dornbirn, 18.486208, Degree Celsius, 02:46:17:651)
(Dornbirn, 19.38711, Degree Celsius, 02:46:17:683)
(Dornbirn, 19.261204, Degree Celsius, 02:46:17:715)
(Dornbirn, 19.342085, Degree Celsius, 02:46:17:740)
(Dornbirn, 19.101631, Degree Celsius, 02:46:17:771)
(Dornbirn, 19.39255, Degree Celsius, 02:46:17:802)
(Las Vegas, 52.692017, Degree Fahrenheit, 02:46:17:620)
(Las Vegas, 42.235886, Degree Fahrenheit, 02:46:17:651)
(Las Vegas, 45.759953, Degree Fahrenheit, 02:46:17:683)
(Las Vegas, 50.09408, Degree Fahrenheit, 02:46:17:715)
(Las Vegas, 47.76497, Degree Fahrenheit, 02:46:17:740)
(Las Vegas, 49.405636, Degree Fahrenheit, 02:46:17:771)
(Las Vegas, 45.90904, Degree Fahrenheit, 02:46:17:802)
(Dornbirn, 19.514679, Degree Celsius, 02:46:17:834)
(Dornbirn, 19.299074, Degree Celsius, 02:46:17:866)
(Dornbirn, 18.961031, Degree Celsius, 02:46:17:880)
(Dornbirn, 18.645048, Degree Celsius, 02:46:17:900)
(Dornbirn, 19.386292, Degree Celsius, 02:46:17:932)
(Dornbirn, 19.115696, Degree Celsius, 02:46:17:963)
(Dornbirn, 19.358925, Degree Celsius, 02:46:17:994)
(Linz, 21.505535, Degree Celsius, 02:46:17:834)
(Linz, 20.425539, Degree Celsius, 02:46:17:866)
(Linz, 20.340328, Degree Celsius, 02:46:17:880)
(Linz, 21.178083, Degree Celsius, 02:46:17:900)
(Linz, 20.481802, Degree Celsius, 02:46:17:932)
(Linz, 21.11351, Degree Celsius, 02:46:17:963)
(Linz, 21.740196, Degree Celsius, 02:46:17:994)
(Vienna, 24.084837, Degree Celsius, 02:46:17:834)
(Vienna, 23.175734, Degree Celsius, 02:46:17:866)
(Vienna, 23.541693, Degree Celsius, 02:46:17:880)
(Vienna, 24.087166, Degree Celsius, 02:46:17:900)
(Vienna, 22.972244, Degree Celsius, 02:46:17:932)
(Vienna, 23.459148, Degree Celsius, 02:46:17:963)
(Vienna, 23.57853, Degree Celsius, 02:46:17:994)
(Las Vegas, 44.201775, Degree Fahrenheit, 02:46:17:834)
(Las Vegas, 48.16882, Degree Fahrenheit, 02:46:17:866)
(Las Vegas, 41.58817, Degree Fahrenheit, 02:46:17:880)
(Las Vegas, 42.812, Degree Fahrenheit, 02:46:17:900)
(Las Vegas, 40.844437, Degree Fahrenheit, 02:46:17:932)
(Las Vegas, 46.387306, Degree Fahrenheit, 02:46:17:963)
(Las Vegas, 47.030327, Degree Fahrenheit, 02:46:17:994)
